center_x,center_y,depth
486.4862,223.08365,0.5522346208243303
411.33545,310.76007,0.5194206353581781
434.08475,444.11374,0.5357221748556594
560.4628,249.2399,0.5665804798312705
224.57677,412.63458,0.5654017770540284
543.8509,106.74516,0.7715213348197375
551.364,396.6689,0.456700021692086
514.1271,301.50073,0.48200002289377153
325.13748,248.09126,0.5006171077250164
493.76154,422.28986,0.6222166962203726
172.90677,199.93718,0.7194886582258802
619.0266,469.58932,0.0
99.14976,32.47235,0.7498220053116023
10.833441,229.459,0.617922340106707
153.9218,310.428,0.6231279638692891
102.76068,397.92572,1.00270796841815
328.57578,356.20966,0.4448084323422191
476.13574,302.86438,0.5681368690903152
313.03058,462.72516,0.4694375222970848
435.70105,111.580055,0.6322155472700051
102.48275,93.276855,0.9182991507597242
47.772995,156.692,0.6718965836375117
400.1664,12.149319,0.5367731823951678
566.6984,109.131134,0.8011884930628986
492.3258,43.21216,0.5574231033992524
624.83075,295.26617,0.52303471383803
334.5454,414.93365,0.45445386773924557
182.15465,310.88486,0.6240337375051792
209.32385,155.06903,0.0
155.5365,438.34863,0.564814841642079
366.05325,58.26387,0.44715716409596745
433.17447,73.56919,0.4275217594366278
355.98386,429.6091,0.5168285959766113
624.0759,137.95595,0.6949344592371223
630.1393,403.86374,0.0
375.03546,230.78229,0.6304697269154007
415.46417,249.29344,0.6766956843152317
323.9438,182.67662,0.6126762880933665
149.03732,403.4328,0.7757467900927468
251.31169,230.2275,0.5746971287459229
38.545135,341.63245,0.6786380793716247
549.6579,468.04382,0.43295835389775067
385.57693,115.719055,0.6940070259705563
459.43347,358.5914,0.5261666916582423
